Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,blue,red,green,nir,swir16,swir22,NDMI,MNDWI,NDVI,NDTI,NDBI,SAVI,pet,ppt,tmax,aet,def,q,vpd,ws,soil,elevation,Month,Quarter,Week_of_year,season_autumn,season_spring,season_summer,season_winter,Month_sin,Month_cos,Week_of_year_sin,Week_of_year_cos,dist_johannesburg,dist_cape_town
-33.502,21.624,2011-01-04,201.0,769.0,74.0,8859.5,10088.0,9801.0,14183.0,13704.25,11265.25,0.022,-0.168,0.147,0.013,-0.022,0.22,100.2,16.3,24.55,15.5,84.7,0.8,0.98,2.59,0.1,235.672,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,1020.374,300.386
-32.503,19.536,2011-01-04,10.387,73.0,10.0,10579.0,14613.0,13104.0,17653.0,19330.0,16984.0,-0.045,-0.192,0.094,0.054,0.045,0.141,119.9,16.2,27.06,15.4,104.5,0.8,1.35,2.77,0.6,380.206,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,1081.497,189.661
-25.46,28.264,2011-01-04,108.94,396.0,82.0,9139.0,11096.0,9926.0,13959.0,15156.5,12552.5,-0.041,-0.209,0.114,0.056,0.041,0.171,103.6,141.9,26.4,103.6,0.0,7.1,1.03,2.06,32.5,1095.909,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,85.618,1337.07
-27.496,26.075,2011-01-04,67.8,218.6,91.0,9490.5,11540.5,11044.5,17937.5,18143.5,14152.5,-0.006,-0.243,0.217,0.022,0.006,0.326,99.7,99.5,24.73,94.5,5.2,5.0,0.96,2.35,0.4,1248.754,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,242.857,1022.865
-26.648,27.089,2011-01-05,211.0,532.0,62.0,8535.0,8963.5,9597.0,19310.5,12954.5,9447.5,0.197,-0.149,0.366,-0.034,-0.197,0.549,83.5,63.3,21.92,70.5,13.0,3.2,0.88,2.06,12.2,1352.768,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,107.565,1160.411
-26.97,27.211,2011-01-05,71.5,248.4,117.0,9671.5,11496.0,11040.0,10218.0,7946.5,7735.0,0.125,0.163,-0.059,0.02,-0.125,-0.088,82.1,66.7,21.86,72.5,9.6,3.3,0.9,1.98,14.9,1315.0,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,119.141,1143.309
-27.39,26.464,2011-01-05,82.14,255.5,74.0,10130.0,11926.0,11597.0,11481.0,8583.0,8196.5,0.144,0.149,-0.019,0.014,-0.144,-0.029,83.2,97.4,22.81,83.2,0.0,4.9,0.99,1.91,9.7,1237.5,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,205.248,1058.076
-27.044,27.005,2011-01-05,83.0,220.9,85.0,8882.5,9503.5,9908.0,17418.5,13987.0,10115.0,0.109,-0.171,0.294,-0.021,-0.109,0.441,82.4,74.6,21.95,75.6,6.8,3.7,0.9,2.02,13.0,1308.255,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,139.632,1123.021
-30.831,26.921,2011-01-06,62.099,145.0,10.0,4189.0,4479.0,4491.0,5266.5,3672.5,3764.5,0.178,0.1,0.081,-0.001,-0.178,0.121,57.0,54.1,14.59,53.1,3.9,2.7,0.51,2.76,8.0,1317.5,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,526.009,869.347
-27.002,28.765,2011-01-06,34.855,114.5,150.0,8743.0,9947.0,9691.0,13724.0,13005.5,10754.5,0.027,-0.146,0.16,0.013,-0.027,0.239,70.0,26.4,17.38,37.1,32.9,1.3,0.64,2.68,15.6,1488.955,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,113.663,1254.482
-27.023,28.594,2011-01-06,41.408,148.8,152.0,8893.0,10129.0,9969.5,11490.5,10372.5,9135.0,0.051,-0.02,0.063,0.008,-0.051,0.094,72.4,27.0,17.87,32.6,39.8,1.3,0.68,2.67,13.5,1483.0,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,105.842,1240.067
-30.68,26.712,2011-01-06,55.297,138.3,44.0,9235.5,11938.0,10548.0,13400.0,7764.0,7659.0,0.266,0.152,0.058,0.062,-0.266,0.087,59.8,44.9,15.74,44.4,15.4,2.2,0.57,2.73,5.1,1291.0,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,514.442,858.886
-30.16,27.401,2011-01-06,57.916,167.1,13.0,9063.0,10522.5,10060.0,14158.0,12037.5,10023.5,0.081,-0.089,0.147,0.022,-0.081,0.221,57.4,53.8,14.62,54.0,3.4,2.7,0.55,2.43,15.9,1413.0,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,444.352,944.278
-32.596,19.009,2011-01-06,8.621,63.1,19.0,9227.5,10903.5,10334.0,15218.5,14735.0,12208.5,0.016,-0.176,0.165,0.027,-0.016,0.248,52.7,73.2,19.28,52.7,0.0,3.7,0.66,1.93,19.1,155.548,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,1126.956,158.117
-25.991,27.842,2011-01-10,82.432,283.8,32.0,10629.0,11898.0,11771.5,18631.5,16495.0,12815.0,0.061,-0.167,0.221,0.005,-0.061,0.331,173.2,48.0,28.54,46.7,126.5,2.4,1.46,3.0,6.3,1359.537,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,31.532,1265.022
-26.738,27.592,2011-01-10,55.3,189.1,105.0,8719.0,8961.0,9167.0,9089.5,7963.0,7740.0,0.066,0.07,0.007,-0.011,-0.066,0.011,179.4,39.5,28.34,38.5,140.9,2.0,1.48,3.38,5.3,1404.5,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,74.764,1188.34
-26.45,28.086,2011-01-10,105.711,635.0,80.0,9502.5,12540.0,10720.0,15210.0,17974.0,14201.0,-0.083,-0.253,0.096,0.078,0.083,0.144,172.9,45.3,27.91,43.9,129.0,2.3,1.39,3.23,5.6,1470.731,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,27.479,1245.852
-30.86,29.071,2011-01-10,40.861,95.6,10.0,9396.0,11634.0,10724.5,14558.0,11450.0,10000.5,0.12,-0.033,0.112,0.041,-0.12,0.167,138.0,28.8,25.61,30.1,107.9,1.4,1.03,2.9,9.9,818.0,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,527.15,1056.271
-27.357,27.286,2011-01-10,64.1,164.0,151.0,8718.0,9290.0,9502.5,16828.5,12665.5,9643.0,0.141,-0.143,0.289,-0.011,-0.141,0.433,185.8,31.6,29.06,30.5,155.3,1.6,1.58,3.52,3.7,1357.408,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,148.798,1118.93
-27.01,26.698,2011-01-11,66.1,203.4,131.0,9344.0,10728.5,10433.5,12433.5,9579.5,8531.5,0.13,0.043,0.074,0.014,-0.13,0.11,191.7,44.3,30.09,42.3,149.4,2.2,1.58,3.19,2.3,1281.681,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,161.467,1104.476
-25.734,27.214,2011-01-11,8.0,34.04,56.0,16362.5,17879.5,17765.0,21914.0,22170.5,17965.5,-0.006,-0.11,0.101,0.003,0.006,0.152,182.5,56.2,29.99,54.2,128.3,2.8,1.43,3.07,5.6,1442.729,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,98.578,1244.017
-26.985,26.632,2011-01-11,128.0,196.7,158.0,9414.0,10262.5,10207.0,13683.0,14011.5,11850.5,-0.012,-0.157,0.143,0.003,0.012,0.214,192.0,44.3,30.16,42.4,149.6,2.2,1.6,3.21,2.7,1277.648,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,165.467,1102.013
-27.399,26.615,2011-01-11,71.6,190.6,127.0,9253.5,10126.0,10247.0,15515.5,12823.0,10403.5,0.095,-0.112,0.21,-0.006,-0.095,0.315,197.4,45.2,30.63,43.2,154.2,2.3,1.68,3.29,2.7,1257.285,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,194.675,1067.887
-27.671,27.237,2011-01-11,75.096,275.7,71.0,9693.5,11237.5,10943.0,14887.0,13522.0,11403.0,0.048,-0.105,0.14,0.013,-0.048,0.21,192.1,42.2,30.03,40.5,151.6,2.1,1.57,3.21,2.9,1337.107,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,181.846,1091.774
-29.16,26.573,2011-01-11,120.27,177.3,10.0,8859.5,10088.0,9801.0,14183.0,13704.25,11265.25,0.022,-0.168,0.147,0.013,-0.022,0.22,199.1,29.5,29.3,28.4,170.7,1.5,1.61,3.69,2.7,1334.742,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,359.321,936.765
-34.251,20.992,2011-01-11,26.8,304.5,12.0,8456.0,9192.0,9019.0,12323.0,13161.0,10800.5,-0.033,-0.187,0.146,0.009,0.033,0.218,140.2,51.9,24.19,52.8,87.4,2.6,0.76,4.01,12.3,22.362,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,1121.787,239.83
-25.46,28.264,2011-01-11,132.0,489.0,82.0,9139.0,11096.0,9926.0,13959.0,15156.5,12552.5,-0.041,-0.209,0.114,0.056,0.041,0.171,182.8,54.2,31.4,52.2,130.6,2.7,1.51,2.92,5.7,1095.909,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,85.618,1337.07
-25.81,27.91,2011-01-12,131.0,584.0,10.0,8693.0,9553.5,9753.0,16870.5,13408.0,10257.0,0.114,-0.158,0.277,-0.01,-0.114,0.415,164.1,100.5,28.97,96.1,68.0,5.0,1.33,2.45,5.1,1180.939,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,46.05,1284.284
-27.274,28.49,2011-01-12,49.114,136.6,32.0,8456.5,9407.5,9060.0,12333.0,9264.5,8181.0,0.142,-0.011,0.135,0.019,-0.142,0.202,164.3,104.7,27.6,100.1,64.2,5.2,1.24,2.46,4.4,1484.0,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,126.641,1214.179
-27.428,28.526,2011-01-12,62.326,163.9,45.0,9231.0,11296.0,10794.0,16767.0,18026.5,15340.5,-0.036,-0.251,0.195,0.023,0.036,0.292,163.6,107.7,27.46,102.8,60.8,5.4,1.22,2.48,3.8,1506.991,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,143.912,1206.007
-28.883,27.89,2011-01-12,117.44,271.7,10.0,8398.5,9399.5,9248.0,14007.5,12553.5,9979.0,0.055,-0.152,0.197,0.008,-0.055,0.295,164.2,105.8,26.35,101.0,63.2,5.3,1.18,2.53,3.3,1545.106,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,298.233,1058.947
-27.002,28.765,2011-01-13,63.848,190.9,62.0,8743.0,9947.0,9691.0,13724.0,13005.5,10754.5,0.027,-0.146,0.16,0.013,-0.027,0.239,161.6,95.4,27.63,91.2,70.4,4.8,1.22,2.39,5.0,1488.955,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,113.663,1254.482
-27.023,28.594,2011-01-13,62.806,192.7,35.0,8893.0,10129.0,9969.5,11490.5,10372.5,9135.0,0.051,-0.02,0.063,0.008,-0.051,0.094,163.1,97.6,27.8,93.3,69.8,4.9,1.25,2.42,4.8,1483.0,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,105.842,1240.067
-30.534,24.962,2011-01-13,100.962,142.6,80.0,9795.0,10773.5,10835.0,15132.5,13586.0,11169.0,0.054,-0.113,0.168,-0.003,-0.054,0.252,205.0,44.9,29.9,42.6,162.4,2.2,1.71,3.29,0.0,1214.826,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,568.254,721.86
-28.461,21.249,2011-01-13,102.898,353.0,51.0,10832.0,13063.0,12046.5,14599.0,12067.0,11038.5,0.095,-0.001,0.056,0.04,-0.095,0.083,244.7,52.3,33.62,49.6,195.1,2.6,2.63,3.34,0.0,788.216,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,716.941,664.909
-29.658,25.973,2011-01-14,86.742,107.0,85.0,9396.0,11157.5,10765.0,14001.0,12520.0,10583.0,0.056,-0.075,0.113,0.018,-0.056,0.17,186.9,71.0,28.29,67.7,119.2,3.6,1.44,3.06,2.2,1318.5,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,434.758,857.199
-28.761,17.73,2011-01-16,95.398,297.2,64.0,9557.0,12802.0,11426.0,11190.0,7687.5,7645.0,0.186,0.196,-0.067,0.057,-0.186,-0.101,257.5,1.3,34.98,1.2,256.3,0.1,3.03,3.53,0.0,163.0,1,1,2,0,0,1,0,0.5,0.866,0.235,0.972,1056.473,578.338
-25.514,31.224,2011-01-17,63.165,155.5,11.0,8486.0,9137.5,9116.5,14776.0,12424.0,9895.0,0.086,-0.154,0.236,0.001,-0.086,0.354,149.4,105.8,28.0,102.2,47.2,5.3,1.02,2.02,13.2,437.565,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,326.818,1548.573
-26.861,28.885,2011-01-17,101.685,315.4,114.0,8691.0,9241.5,9550.0,17658.5,13746.5,10574.0,0.125,-0.18,0.313,-0.016,-0.125,0.469,161.0,89.0,27.43,85.2,75.8,4.5,1.19,2.36,5.2,1518.064,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,110.557,1273.675
-31.555,29.246,2011-01-17,58.2,197.2,12.0,8558.0,8850.0,9449.0,19619.0,13890.0,10042.0,0.171,-0.19,0.378,-0.033,-0.171,0.567,123.7,106.2,24.68,115.3,8.4,5.3,0.62,3.81,36.1,232.405,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,606.135,1046.01
-28.059,30.374,2011-01-17,58.0,220.0,100.0,8452.5,9431.0,9326.0,14514.0,12189.5,9706.0,0.087,-0.133,0.212,0.006,-0.087,0.318,158.0,99.6,28.03,95.0,63.0,5.0,1.15,2.46,4.2,1138.25,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,308.823,1311.966
-25.128,27.629,2011-01-18,131.0,415.0,163.0,4984.0,5122.0,5189.5,7814.0,6664.0,5222.0,0.079,-0.124,0.208,-0.007,-0.079,0.312,169.3,112.2,31.17,107.1,62.2,5.6,1.52,2.32,6.1,951.591,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,126.99,1322.331
-25.206,27.558,2011-01-18,102.0,516.0,90.0,10039.0,9985.0,10466.5,14137.5,10315.5,8536.0,0.156,0.007,0.172,-0.024,-0.156,0.258,170.0,112.9,31.11,108.0,62.0,5.6,1.52,2.38,6.5,950.863,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,121.478,1311.05
-24.695,27.409,2011-01-18,124.0,509.0,158.0,9921.0,10524.0,10647.0,15543.0,11919.5,9642.5,0.132,-0.056,0.193,-0.006,-0.132,0.289,172.9,121.0,31.61,115.6,57.3,6.0,1.61,2.35,7.0,912.183,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,179.789,1345.626
-25.681,31.783,2011-01-18,53.322,247.7,10.0,9686.5,11154.0,10809.0,13298.5,10191.0,9261.0,0.132,0.029,0.088,0.016,-0.132,0.132,149.2,65.4,29.6,63.1,86.1,3.3,1.02,1.92,10.7,198.404,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,377.826,1580.094
-27.803,28.768,2011-01-18,41.891,116.9,23.0,8857.5,9811.5,9803.5,12128.5,9325.0,8486.0,0.131,0.025,0.106,0.0,-0.131,0.158,159.1,107.8,26.91,102.8,56.3,5.4,1.15,2.42,3.3,1559.447,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,191.397,1198.953
-27.399,26.615,2011-01-18,133.319,323.7,139.0,9253.5,10126.0,10247.0,15515.5,12823.0,10403.5,0.095,-0.112,0.21,-0.006,-0.095,0.315,191.9,84.9,29.94,80.9,111.0,4.2,1.57,3.2,2.5,1257.285,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,194.675,1067.887
-31.104,29.4,2011-01-18,52.984,129.0,10.0,8859.5,10088.0,9801.0,14183.0,13704.25,11265.25,0.022,-0.168,0.147,0.013,-0.022,0.22,134.1,101.8,25.75,115.7,18.4,5.1,0.81,3.26,21.6,369.233,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,560.458,1075.934
-31.396,29.265,2011-01-18,35.741,89.2,10.0,9782.5,13003.0,11835.5,12488.0,8894.0,8335.0,0.168,0.142,-0.02,0.047,-0.168,-0.03,134.5,98.7,25.96,119.5,15.0,4.9,0.79,3.63,23.9,104.5,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,589.222,1053.212
-33.381,19.302,2011-01-18,32.968,174.3,41.0,9572.0,11320.5,10665.5,15820.0,16377.5,13975.0,-0.017,-0.211,0.166,0.03,0.017,0.249,194.3,13.4,26.59,14.4,179.9,0.7,1.35,3.53,8.2,438.084,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,1160.628,102.069
-33.314,19.075,2011-01-18,30.257,208.2,23.0,8765.0,9965.0,9546.5,13162.5,12786.0,10889.0,0.015,-0.145,0.138,0.021,-0.015,0.207,205.9,13.8,29.13,15.1,190.8,0.7,1.58,3.55,10.2,88.553,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,1171.81,91.552
-27.496,26.075,2011-01-18,176.0,458.0,91.0,9490.5,11540.5,11044.5,17937.5,18143.5,14152.5,-0.006,-0.243,0.217,0.022,0.006,0.326,194.2,79.9,29.94,76.3,117.9,4.0,1.57,3.34,2.8,1248.754,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,242.857,1022.865
-24.396,27.09,2011-01-19,120.0,508.0,142.0,8859.5,10088.0,9801.0,14183.0,13704.25,11265.25,0.022,-0.168,0.147,0.013,-0.022,0.22,169.2,96.5,31.68,92.6,76.6,4.8,1.6,2.25,8.4,873.5,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,223.078,1352.486
-26.97,27.211,2011-01-19,63.9,202.4,101.0,9671.5,11496.0,11040.0,10218.0,7946.5,7735.0,0.125,0.163,-0.059,0.02,-0.125,-0.088,173.9,96.2,28.86,91.8,82.1,4.8,1.4,2.54,3.5,1315.0,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,119.141,1143.309
-26.88,26.965,2011-01-19,235.0,593.0,176.0,8695.0,9354.5,9582.5,14265.0,14182.0,11071.5,0.003,-0.194,0.208,-0.012,-0.003,0.312,175.5,93.9,29.15,89.6,85.9,4.7,1.42,2.65,3.3,1297.191,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,131.457,1133.243
-27.274,28.49,2011-01-19,63.114,149.5,11.0,8456.5,9407.5,9060.0,12333.0,9264.5,8181.0,0.142,-0.011,0.135,0.019,-0.142,0.202,164.3,104.7,27.6,100.1,64.2,5.2,1.24,2.46,4.4,1484.0,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,126.641,1214.179
-27.3,28.587,2011-01-19,59.091,150.3,16.0,8561.0,9929.5,9636.0,14954.0,14753.0,11537.5,0.007,-0.21,0.202,0.015,-0.007,0.303,163.4,103.8,27.63,99.1,64.3,5.2,1.24,2.46,4.2,1514.909,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,132.93,1219.678
-27.044,27.005,2011-01-19,83.5,225.2,102.0,8882.5,9503.5,9908.0,17418.5,13987.0,10115.0,0.109,-0.171,0.294,-0.021,-0.109,0.441,178.7,93.5,29.25,89.2,89.5,4.7,1.45,2.74,3.3,1308.255,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,139.632,1123.021
-30.568,29.423,2011-01-19,40.9,109.3,12.0,8429.5,8964.5,9196.5,16880.0,12987.5,10366.5,0.13,-0.171,0.306,-0.013,-0.13,0.459,137.7,105.3,24.7,101.5,36.2,5.3,0.81,3.02,8.5,1243.491,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,503.414,1099.644
-30.571,29.151,2011-01-19,40.72,90.6,10.0,8859.5,10088.0,9801.0,14183.0,13704.25,11265.25,0.022,-0.168,0.147,0.013,-0.022,0.22,138.9,108.5,24.51,104.1,34.8,5.4,0.84,2.82,6.5,1352.0,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,497.249,1075.531
-34.032,22.053,2011-01-19,17.64,266.5,10.0,7784.0,7826.0,7859.0,9058.0,8310.0,7822.0,0.043,-0.028,0.073,-0.002,-0.043,0.109,157.5,20.2,25.33,20.6,136.9,1.0,0.85,3.39,7.0,57.333,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,1043.539,335.452
-33.131,18.863,2011-01-19,19.323,117.3,35.0,9873.5,12122.5,11456.5,15187.0,14527.0,12799.0,0.022,-0.118,0.112,0.028,-0.022,0.168,207.1,12.2,29.59,12.7,194.4,0.6,1.61,3.52,7.5,29.643,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,1174.161,97.872
-33.708,18.974,2011-01-19,7.891,78.6,27.0,8918.0,10330.5,9913.0,14270.0,13652.0,11469.5,0.022,-0.159,0.16,0.021,-0.022,0.24,200.3,19.6,28.39,21.2,179.1,1.0,1.42,3.87,11.8,97.215,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,1207.394,57.058
-25.579,29.127,2011-01-19,58.232,231.7,10.0,9017.0,11586.5,10076.0,13560.0,16388.0,13014.0,-0.094,-0.239,0.078,0.07,0.094,0.118,161.6,102.3,29.43,97.8,63.8,5.1,1.32,2.28,4.8,1158.965,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,128.342,1388.004
-26.006,29.254,2011-01-20,77.092,367.0,14.0,8859.5,10088.0,9801.0,14183.0,13704.25,11265.25,0.022,-0.168,0.147,0.013,-0.022,0.22,152.0,96.5,27.09,92.3,59.7,4.8,1.1,2.28,5.5,1513.484,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,122.249,1364.354
-27.023,28.594,2011-01-20,94.557,254.9,15.0,8893.0,10129.0,9969.5,11490.5,10372.5,9135.0,0.051,-0.02,0.063,0.008,-0.051,0.094,163.1,97.6,27.8,93.3,69.8,4.9,1.25,2.42,4.8,1483.0,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,105.842,1240.067
-30.68,26.712,2011-01-20,73.862,158.9,10.0,9235.5,11938.0,10548.0,13400.0,7764.0,7659.0,0.266,0.152,0.058,0.062,-0.266,0.087,180.9,68.1,28.6,64.9,116.0,3.4,1.4,3.2,2.1,1291.0,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,514.442,858.886
-28.461,21.249,2011-01-20,85.7,259.1,29.0,10832.0,13063.0,12046.5,14599.0,12067.0,11038.5,0.095,-0.001,0.056,0.04,-0.095,0.083,244.7,52.3,33.62,49.6,195.1,2.6,2.63,3.34,0.0,788.216,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,716.941,664.909
-30.776,29.032,2011-01-20,40.9,110.2,12.0,8859.5,10088.0,9801.0,14183.0,13704.25,11265.25,0.022,-0.168,0.147,0.013,-0.022,0.22,141.5,104.3,26.0,100.2,41.3,5.2,0.96,2.74,6.6,896.779,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,517.239,1056.309
-24.925,29.324,2011-01-21,85.636,381.0,59.0,8655.0,9276.5,9112.0,13185.0,13904.5,11277.0,-0.027,-0.208,0.174,0.009,0.027,0.261,162.4,109.5,30.97,104.5,57.9,5.5,1.41,2.14,4.0,833.377,1,1,3,0,0,1,0,0.5,0.866,0.348,0.937,191.304,1453.571
