Latitude,Longitude,Sample Date,vpd,ws,soil
-26.861111,28.884722,17-01-2011,1.1899999,2.36,5.2000003
-31.554722,29.245556,17-01-2011,0.62,3.81,36.100002
-28.058889,30.373611,17-01-2011,1.15,2.46,4.2000003
-25.127778,27.628889,18-01-2011,1.52,2.32,6.1
-25.20639,27.558,18-01-2011,1.52,2.3799999,6.5
-24.69514,27.40906,18-01-2011,1.61,2.35,7.0
-25.681111,31.783333,18-01-2011,1.02,1.92,10.7
-27.802778,28.768333,18-01-2011,1.15,2.4199998,3.3
-27.398611,26.614722,18-01-2011,1.5699999,3.1999998,2.5
-31.104278,29.399722,18-01-2011,0.81,3.26,21.6
-31.396,29.2651,18-01-2011,0.78999996,3.6299999,23.9
-33.38056,19.30167,18-01-2011,1.35,3.53,8.2
-33.31388889,19.07472222,18-01-2011,1.5799999,3.55,10.2
-27.495556,26.074722,18-01-2011,1.5699999,3.34,2.8
-24.39619444,27.08983333,19-01-2011,1.5999999,2.25,8.400001
-26.970278,27.211111,19-01-2011,1.4,2.54,3.5
-26.880278,26.965,19-01-2011,1.42,2.6499999,3.3
-27.273889,28.49,19-01-2011,1.24,2.46,4.4
-27.3,28.586944,19-01-2011,1.24,2.46,4.2000003
-27.044444,27.005,19-01-2011,1.4499999,2.74,3.3
-30.568333,29.422778,19-01-2011,0.81,3.02,8.5
-30.570833,29.150556,19-01-2011,0.84,2.82,6.5
-34.031944,22.053333,19-01-2011,0.84999996,3.3899999,7.0
-33.13083,18.86278,19-01-2011,1.61,3.52,7.5
-33.7075,18.97444444,19-01-2011,1.42,3.87,11.8
-25.57877778,29.12747222,19-01-2011,1.3199999,2.28,4.8
-26.006389,29.253889,20-01-2011,1.1,2.28,5.5
-27.02314,28.59389,20-01-2011,1.25,2.4199998,4.8
-30.679722,26.7125,20-01-2011,1.4,3.1999998,2.1000001
-28.460833,21.248889,20-01-2011,2.6299999,3.34,0.0
-30.77586667,29.03221667,20-01-2011,0.96,2.74,6.6
-24.925278,29.324444,21-01-2011,1.41,2.1399999,4.0
-28.460833,21.248889,21-01-2011,2.6299999,3.34,0.0
-24.679167,30.8025,24-01-2011,0.85999995,2.21,16.7
-25.99136,27.84208,24-01-2011,1.24,2.46,4.9
-25.49037,30.6986,24-01-2011,0.89,2.1399999,17.2
-26.970278,27.211111,24-01-2011,1.4,2.54,3.5
-27.671111,27.236944,24-01-2011,1.51,2.74,2.7
-27.356667,27.286389,24-01-2011,1.4699999,2.8799999,3.0
-27.01011111,26.69808333,25-01-2011,1.4599999,3.04,2.2
-26.98472222,26.63227778,25-01-2011,1.4699999,2.8999999,2.5
-27.398611,26.614722,25-01-2011,1.5699999,3.1999998,2.5
-33.818056,19.694722,25-01-2011,1.5,3.6,6.2000003
-25.45963889,28.26430556,25-01-2011,1.37,2.37,5.1
-33.897778,20.012778,25-01-2011,1.55,3.11,4.9
-25.81048333,27.90955222,26-01-2011,1.3299999,2.45,5.1
-34.065833,20.404167,26-01-2011,1.5,2.1699998,6.2000003
-24.058889,31.237222,26-01-2011,1.36,1.4399999,1.4
-26.648056,27.089444,26-01-2011,1.3299999,2.61,3.4
-26.880278,26.965,26-01-2011,1.42,2.6499999,3.3
-27.273889,28.49,26-01-2011,1.24,2.46,4.4
-27.044444,27.005,26-01-2011,1.4499999,2.74,3.3
-34.092222,21.295278,26-01-2011,1.17,2.98,5.4
-27.02314,28.59389,27-01-2011,1.25,2.4199998,4.8
-26.73806,27.59194,27-01-2011,1.3,2.6,4.1
-28.760833,17.730278,30-01-2011,3.03,3.53,0.0
-26.861111,28.884722,31-01-2011,1.1899999,2.36,5.2000003
-26.73806,27.59194,31-01-2011,1.3,2.6,4.1
-25.127778,27.628889,01-02-2011,1.52,2.32,6.1
-24.69514,27.40906,01-02-2011,1.61,2.35,7.0
-27.363611,31.783333,01-02-2011,1.16,1.86,10.6
-27.802778,28.768333,01-02-2011,1.15,2.4199998,3.3
-29.160278,26.573333,01-02-2011,1.52,3.1999998,2.4
-34.329722,18.990278,01-02-2011,0.72999996,4.7599998,17.9
-25.20639,27.558,02-02-2011,1.52,2.3799999,6.5
-23.281,30.54305556,03-02-2011,1.3299999,1.63,6.2000003
-28.801278,31.955389,03-02-2011,0.89,3.6899998,11.0
-27.00222,28.76528,03-02-2011,1.22,2.3899999,5.0
-27.02314,28.59389,03-02-2011,1.25,2.4199998,4.8
-27.3,28.586944,03-02-2011,1.24,2.46,4.2000003
-30.679722,26.7125,03-02-2011,1.4,3.1999998,2.1000001
-28.460833,21.248889,03-02-2011,2.6299999,3.34,0.0
-28.460833,21.248889,04-02-2011,2.6299999,3.34,0.0
-29.140556,31.391944,07-02-2011,0.82,3.49,4.8
-25.99136,27.84208,07-02-2011,1.24,2.46,4.9
-24.058889,31.237222,07-02-2011,1.36,1.4399999,1.4
-26.73806,27.59194,07-02-2011,1.3,2.6,4.1
-30.86013889,29.07125,07-02-2011,0.94,2.76,7.0
-27.356667,27.286389,07-02-2011,1.4699999,2.8799999,3.0
-28.058889,30.373611,07-02-2011,1.15,2.46,4.2000003
-27.01011111,26.69808333,08-02-2011,1.4599999,3.04,2.2
-27.169444,29.233889,08-02-2011,1.12,2.3799999,4.0
-26.98472222,26.63227778,08-02-2011,1.4699999,2.8999999,2.5
-27.398611,26.614722,08-02-2011,1.5699999,3.1999998,2.5
-27.573056,24.746389,08-02-2011,1.8399999,3.4099998,0.4
-33.501667,21.624167,08-02-2011,1.37,3.33,0.1
-32.502778,19.535833,08-02-2011,2.0,3.85,1.3000001
-25.45963889,28.26430556,08-02-2011,1.37,2.37,5.1
-26.970278,27.211111,09-02-2011,1.4,2.54,3.5
-27.273889,28.49,09-02-2011,1.24,2.46,4.4
-28.69485,28.23487,09-02-2011,1.11,2.49,3.1000001
-28.883333,27.89,09-02-2011,1.18,2.53,3.3
-27.02314,28.59389,10-02-2011,1.25,2.4199998,4.8
-30.679722,26.7125,10-02-2011,1.4,3.1999998,2.1000001
-30.534167,24.961944,10-02-2011,1.7099999,3.29,0.0
-34.031944,22.053333,10-02-2011,0.84999996,3.3899999,7.0
-34.039722,22.133333,10-02-2011,0.82,3.6,7.3
-32.595833,19.009444,10-02-2011,1.8199999,3.46,6.1
-28.801278,31.955389,11-02-2011,0.89,3.6899998,11.0
-29.658056,25.973333,11-02-2011,1.4399999,3.06,2.2
-28.068333,31.55,11-02-2011,1.31,2.06,2.3
-28.760833,17.730278,13-02-2011,3.03,3.53,0.0
-29.7775,29.470833,14-02-2011,0.81,2.47,8.900001
-29.987778,29.851667,14-02-2011,0.83,2.57,10.8
-29.744167,29.905833,14-02-2011,0.94,2.48,8.7
-26.861111,28.884722,14-02-2011,1.1899999,2.36,5.2000003
-26.45,28.085833,14-02-2011,1.24,2.49,4.5
-31.396,29.2651,14-02-2011,0.78999996,3.6299999,23.9
-25.20639,27.558,15-02-2011,1.52,2.3799999,6.5
-24.69514,27.40906,15-02-2011,1.61,2.35,7.0
-26.006389,29.253889,15-02-2011,1.1,2.28,5.5
-27.802778,28.768333,15-02-2011,1.15,2.4199998,3.3
-27.398611,26.614722,15-02-2011,1.5699999,3.1999998,2.5
-27.671111,27.236944,15-02-2011,1.51,2.74,2.7
-29.160278,26.573333,15-02-2011,1.52,3.1999998,2.4
-30.568333,29.422778,15-02-2011,0.81,3.02,8.5
-30.570833,29.150556,15-02-2011,0.84,2.82,6.5
-33.38056,19.30167,15-02-2011,1.35,3.53,8.2
-33.31388889,19.07472222,15-02-2011,1.5799999,3.55,10.2
-27.495556,26.074722,15-02-2011,1.5699999,3.34,2.8
-25.436111,31.982222,16-02-2011,1.14,1.77,12.400001
-24.39619444,27.08983333,16-02-2011,1.5999999,2.25,8.400001
-25.67386,31.57527,16-02-2011,1.22,1.8499999,11.400001
-30.733889,29.828333,16-02-2011,0.77,3.08,33.100002
-30.398056,30.601944,16-02-2011,0.71999997,4.0699997,49.0
-27.273889,28.49,16-02-2011,1.24,2.46,4.4
-27.3,28.586944,16-02-2011,1.24,2.46,4.2000003
-27.044444,27.005,16-02-2011,1.4499999,2.74,3.3
-30.86013889,29.07125,16-02-2011,0.94,2.76,7.0
-30.77586667,29.03221667,16-02-2011,0.96,2.74,6.6
-33.13083,18.86278,16-02-2011,1.61,3.52,7.5
-24.925278,29.324444,17-02-2011,1.41,2.1399999,4.0
-27.00222,28.76528,17-02-2011,1.22,2.3899999,5.0
-27.02314,28.59389,17-02-2011,1.25,2.4199998,4.8
-22.43772222,31.07805556,18-02-2011,1.7099999,1.8499999,0.5
-29.803611,30.516111,18-02-2011,0.77,2.86,11.3
-25.99136,27.84208,21-02-2011,1.24,2.46,4.9
-26.861111,28.884722,21-02-2011,1.1899999,2.36,5.2000003
-26.73806,27.59194,21-02-2011,1.3,2.6,4.1
-26.45,28.085833,21-02-2011,1.24,2.49,4.5
-27.01011111,26.69808333,22-02-2011,1.4599999,3.04,2.2
-27.169444,29.233889,22-02-2011,1.12,2.3799999,4.0
-26.98472222,26.63227778,22-02-2011,1.4699999,2.8999999,2.5
-27.398611,26.614722,22-02-2011,1.5699999,3.1999998,2.5
-29.160278,26.573333,22-02-2011,1.52,3.1999998,2.4
-33.818056,19.694722,22-02-2011,1.5,3.6,6.2000003
-25.81048333,27.90955222,23-02-2011,1.3299999,2.45,5.1
-29.641944,30.6875,23-02-2011,0.84999996,2.95,10.400001
-34.065833,20.404167,23-02-2011,1.5,2.1699998,6.2000003
-33.980556,21.653333,23-02-2011,1.09,2.44,4.6
-22.769722,30.886944,23-02-2011,1.4399999,1.54,5.5
-27.00222,28.76528,23-02-2011,1.22,2.3899999,5.0
-27.02314,28.59389,23-02-2011,1.25,2.4199998,4.8
-27.38972222,26.46388889,23-02-2011,1.5799999,3.27,2.6000001
-27.398611,26.614722,23-02-2011,1.5699999,3.1999998,2.5
-27.671111,27.236944,23-02-2011,1.51,2.74,2.7
-27.356667,27.286389,23-02-2011,1.4699999,2.8799999,3.0
-33.897778,20.012778,23-02-2011,1.55,3.11,4.9
-23.763056,27.908611,24-02-2011,1.39,1.9399999,5.5
-23.23572222,27.717,24-02-2011,1.56,2.01,0.5
-28.44555556,32.325,24-02-2011,0.81,3.3799999,17.2
-30.679722,26.7125,24-02-2011,1.4,3.1999998,2.1000001
-30.160091,27.40124,24-02-2011,1.3199999,2.86,3.6000001
-30.336111,27.359444,24-02-2011,1.31,2.97,3.8
-28.460833,21.248889,24-02-2011,2.6299999,3.34,0.0
-22.91028,29.61111,25-02-2011,1.35,1.66,1.2
-28.760833,17.730278,27-02-2011,3.03,3.53,0.0
-24.183889,30.823889,01-03-2011,1.28,1.55,7.0
-27.398611,26.614722,01-03-2011,1.5699999,3.1999998,2.5
-27.671111,27.236944,01-03-2011,1.51,2.74,2.7
-29.160278,26.573333,01-03-2011,1.52,3.1999998,2.4
-27.495556,26.074722,01-03-2011,1.5699999,3.34,2.8
-23.658056,31.05,02-03-2011,1.41,1.4699999,1.2
-26.648056,27.089444,02-03-2011,1.3299999,2.61,3.4
-27.802778,28.768333,02-03-2011,1.15,2.4199998,3.3
-24.679167,30.8025,03-03-2011,0.85999995,2.21,16.7
-27.273889,28.49,03-03-2011,1.24,2.46,4.4
-27.3,28.586944,03-03-2011,1.24,2.46,4.2000003
-30.679722,26.7125,03-03-2011,1.4,3.1999998,2.1000001
-27.02314,28.59389,04-03-2011,1.25,2.4199998,4.8
-25.99136,27.84208,07-03-2011,1.24,2.46,4.9
-31.554722,29.245556,07-03-2011,0.62,3.81,36.100002
-27.01011111,26.69808333,08-03-2011,1.4599999,3.04,2.2
-27.802778,28.768333,08-03-2011,1.15,2.4199998,3.3
-26.98472222,26.63227778,08-03-2011,1.4699999,2.8999999,2.5
-27.398611,26.614722,08-03-2011,1.5699999,3.1999998,2.5
-27.671111,27.236944,08-03-2011,1.51,2.74,2.7
-29.160278,26.573333,08-03-2011,1.52,3.1999998,2.4
-31.396,29.2651,08-03-2011,0.78999996,3.6299999,23.9
-25.45963889,28.26430556,08-03-2011,1.37,2.37,5.1
-25.81048333,27.90955222,09-03-2011,1.3299999,2.45,5.1
-22.225556,29.990556,09-03-2011,1.73,1.63,0.2
-26.03611,30.99778,09-03-2011,1.11,2.08,15.5
-28.404444,30.013056,09-03-2011,1.29,2.3799999,3.4
-29.380556,30.2775,09-03-2011,0.77,2.51,9.0
-26.648056,27.089444,09-03-2011,1.3299999,2.61,3.4
-26.970278,27.211111,09-03-2011,1.4,2.54,3.5
-27.273889,28.49,09-03-2011,1.24,2.46,4.4
-27.3,28.586944,09-03-2011,1.24,2.46,4.2000003
-27.044444,27.005,09-03-2011,1.4499999,2.74,3.3
-28.69485,28.23487,09-03-2011,1.11,2.49,3.1000001
-28.883333,27.89,09-03-2011,1.18,2.53,3.3
-30.568333,29.422778,09-03-2011,0.81,3.02,8.5
-30.570833,29.150556,09-03-2011,0.84,2.82,6.5
-34.329722,18.990278,09-03-2011,0.72999996,4.7599998,17.9
-30.830556,26.921389,10-03-2011,1.31,3.1799998,2.7
-25.49037,30.6986,10-03-2011,0.89,2.1399999,17.2
-29.380556,30.2775,10-03-2011,0.77,2.51,9.0
-30.86013889,29.07125,10-03-2011,0.94,2.76,7.0
-30.77586667,29.03221667,10-03-2011,0.96,2.74,6.6
-29.658056,25.973333,11-03-2011,1.4399999,3.06,2.2
-30.534167,24.961944,11-03-2011,1.7099999,3.29,0.0
-31.031389,28.883333,11-03-2011,0.9,2.99,7.0
-34.039722,22.133333,11-03-2011,0.82,3.6,7.3
-28.760833,17.730278,13-03-2011,3.03,3.53,0.0
-29.7775,29.470833,14-03-2011,0.81,2.47,8.900001
-29.987778,29.851667,14-03-2011,0.83,2.57,10.8
-29.744167,29.905833,14-03-2011,0.94,2.48,8.7
-26.861111,28.884722,14-03-2011,1.1899999,2.36,5.2000003
-26.73806,27.59194,14-03-2011,1.3,2.6,4.1
-26.45,28.085833,14-03-2011,1.24,2.49,4.5
-25.127778,27.628889,15-03-2011,1.52,2.32,6.1
-25.20639,27.558,15-03-2011,1.52,2.3799999,6.5
-24.69514,27.40906,15-03-2011,1.61,2.35,7.0
-25.73411,27.21422,15-03-2011,1.27,2.59,4.9
-26.006389,29.253889,15-03-2011,1.1,2.28,5.5
-28.747778,31.745833,15-03-2011,1.05,2.9399998,6.4
-30.733889,29.828333,15-03-2011,0.77,3.08,33.100002
-27.398611,26.614722,15-03-2011,1.5699999,3.1999998,2.5
-27.495556,26.074722,15-03-2011,1.5699999,3.34,2.8
-24.282222,28.090278,16-03-2011,1.26,2.18,6.6
-30.398056,30.601944,16-03-2011,0.71999997,4.0699997,49.0
-30.27402,30.69602,16-03-2011,0.71,4.14,34.100002
-26.880278,26.965,16-03-2011,1.42,2.6499999,3.3
-27.273889,28.49,16-03-2011,1.24,2.46,4.4
-34.031944,22.053333,16-03-2011,0.84999996,3.3899999,7.0
-23.763056,27.908611,17-03-2011,1.39,1.9399999,5.5
-27.00222,28.76528,17-03-2011,1.22,2.3899999,5.0
-27.02314,28.59389,17-03-2011,1.25,2.4199998,4.8
-24.925278,29.324444,18-03-2011,1.41,2.1399999,4.0
-29.803611,30.516111,18-03-2011,0.77,2.86,11.3
-26.970278,27.211111,21-03-2011,1.4,2.54,3.5
-27.01011111,26.69808333,22-03-2011,1.4599999,3.04,2.2
-25.99136,27.84208,22-03-2011,1.24,2.46,4.9
-26.861111,28.884722,22-03-2011,1.1899999,2.36,5.2000003
-26.45,28.085833,22-03-2011,1.24,2.49,4.5
-27.398611,26.614722,22-03-2011,1.5699999,3.1999998,2.5
-33.501667,21.624167,22-03-2011,1.37,3.33,0.1
-33.31388889,19.07472222,22-03-2011,1.5799999,3.55,10.2
-28.338333,31.373611,22-03-2011,1.01,2.22,2.9
-29.641944,30.6875,23-03-2011,0.84999996,2.95,10.400001
-28.735556,29.820556,23-03-2011,1.27,2.34,3.2
-26.648056,27.089444,23-03-2011,1.3299999,2.61,3.4
-27.044444,27.005,23-03-2011,1.4499999,2.74,3.3
-29.160278,26.573333,23-03-2011,1.52,3.1999998,2.4
-33.13083,18.86278,23-03-2011,1.61,3.52,7.5
-25.45963889,28.26430556,23-03-2011,1.37,2.37,5.1
-25.81048333,27.90955222,24-03-2011,1.3299999,2.45,5.1
-27.602222,29.942778,24-03-2011,1.3399999,2.3799999,4.1
-27.3,28.586944,24-03-2011,1.24,2.46,4.2000003
-33.38056,19.30167,24-03-2011,1.35,3.53,8.2
-27.00222,28.76528,25-03-2011,1.22,2.3899999,5.0
-27.02314,28.59389,25-03-2011,1.25,2.4199998,4.8
-30.160091,27.40124,25-03-2011,1.3199999,2.86,3.6000001
-30.336111,27.359444,25-03-2011,1.31,2.97,3.8
-28.760833,17.730278,27-03-2011,3.03,3.53,0.0
-22.43772222,31.07805556,28-03-2011,1.7099999,1.8499999,0.5
-26.73806,27.59194,28-03-2011,1.3,2.6,4.1
-25.127778,27.628889,29-03-2011,1.52,2.32,6.1
-25.20639,27.558,29-03-2011,1.52,2.3799999,6.5
-24.69514,27.40906,29-03-2011,1.61,2.35,7.0
-27.169444,29.233889,29-03-2011,1.12,2.3799999,4.0
-26.98472222,26.63227778,29-03-2011,1.4699999,2.8999999,2.5
-28.141944,26.417778,29-03-2011,1.5899999,3.1899998,2.5
-28.116667,26.725278,29-03-2011,1.5699999,2.99,2.5
-27.398611,26.614722,29-03-2011,1.5699999,3.1999998,2.5
-29.160278,26.573333,29-03-2011,1.52,3.1999998,2.4
-27.495556,26.074722,29-03-2011,1.5699999,3.34,2.8
-34.065833,20.404167,30-03-2011,1.5,2.1699998,6.2000003
-27.363611,31.783333,30-03-2011,1.16,1.86,10.6
-26.905,32.324722,30-03-2011,1.26,2.11,9.5
-28.75,30.442778,30-03-2011,1.3299999,2.4199998,3.4
-29.161667,30.629722,30-03-2011,0.78999996,2.6699998,8.3
-26.880278,26.965,30-03-2011,1.42,2.6499999,3.3
-27.398611,26.614722,30-03-2011,1.5699999,3.1999998,2.5
-28.69485,28.23487,30-03-2011,1.11,2.49,3.1000001
-28.883333,27.89,30-03-2011,1.18,2.53,3.3
-33.818056,19.694722,30-03-2011,1.5,3.6,6.2000003
-34.075556,20.145556,30-03-2011,1.4399999,2.56,6.2000003
-27.00222,28.76528,31-03-2011,1.22,2.3899999,5.0
-27.02314,28.59389,31-03-2011,1.25,2.4199998,4.8
-30.679722,26.7125,31-03-2011,1.4,3.1999998,2.1000001
-30.534167,24.961944,31-03-2011,1.7099999,3.29,0.0
-33.897778,20.012778,31-03-2011,1.55,3.11,4.9
-22.769722,30.886944,01-04-2011,1.4399999,1.54,5.5
-27.802778,28.768333,01-04-2011,1.15,2.4199998,3.3
-27.5275,30.858056,02-04-2011,0.98999995,2.12,7.2000003
-25.99136,27.84208,04-04-2011,1.24,2.46,4.9
-25.513889,31.224444,04-04-2011,1.02,2.02,13.2
-25.398889,31.610556,04-04-2011,1.05,1.73,11.3
-24.183889,30.823889,05-04-2011,1.28,1.55,7.0
-23.281,30.54305556,05-04-2011,1.3299999,1.63,6.2000003
-25.362222,31.956667,05-04-2011,1.05,1.73,11.6
-29.380556,30.2775,05-04-2011,0.77,2.51,9.0
-27.398611,26.614722,05-04-2011,1.5699999,3.1999998,2.5
-25.45963889,28.26430556,05-04-2011,1.37,2.37,5.1
-25.81048333,27.90955222,06-04-2011,1.3299999,2.45,5.1
-23.658056,31.05,06-04-2011,1.41,1.4699999,1.2
-24.058889,31.237222,06-04-2011,1.36,1.4399999,1.4
-24.034167,31.123611,06-04-2011,1.29,1.65,1.2
-24.99328,30.81444,06-04-2011,0.62,2.1599998,32.2
-25.14944444,31.94055556,06-04-2011,1.06,1.68,9.6
-27.937778,31.209444,06-04-2011,1.0799999,2.26,2.9
-28.404444,30.013056,06-04-2011,1.29,2.3799999,3.4
-26.880278,26.965,06-04-2011,1.42,2.6499999,3.3
-31.000833,26.353056,06-04-2011,1.3399999,3.31,2.0
-24.679167,30.8025,07-04-2011,0.85999995,2.21,16.7
-24.99328,30.81444,07-04-2011,0.62,2.1599998,32.2
-27.02314,28.59389,07-04-2011,1.25,2.4199998,4.8
-28.760833,17.730278,10-04-2011,3.03,3.53,0.0
-26.73806,27.59194,10-04-2011,1.3,2.6,4.1
-25.49037,30.6986,11-04-2011,0.89,2.1399999,17.2
-29.987778,29.851667,11-04-2011,0.83,2.57,10.8
-29.744167,29.905833,11-04-2011,0.94,2.48,8.7
-26.861111,28.884722,11-04-2011,1.1899999,2.36,5.2000003
-26.970278,27.211111,11-04-2011,1.4,2.54,3.5
-26.45,28.085833,11-04-2011,1.24,2.49,4.5
-31.396,29.2651,11-04-2011,0.78999996,3.6299999,23.9
-31.554722,29.245556,11-04-2011,0.62,3.81,36.100002
-27.356667,27.286389,11-04-2011,1.4699999,2.8799999,3.0
-25.447222,30.711667,11-04-2011,0.94,2.1299999,15.8
-27.01011111,26.69808333,12-04-2011,1.4599999,3.04,2.2
-25.127778,27.628889,12-04-2011,1.52,2.32,6.1
-25.20639,27.558,12-04-2011,1.52,2.3799999,6.5
-24.69514,27.40906,12-04-2011,1.61,2.35,7.0
-25.73411,27.21422,12-04-2011,1.27,2.59,4.9
-26.006389,29.253889,12-04-2011,1.1,2.28,5.5
-26.03611,30.99778,12-04-2011,1.11,2.08,15.5
-28.801278,31.955389,12-04-2011,0.89,3.6899998,11.0
-30.733889,29.828333,12-04-2011,0.77,3.08,33.100002
-27.169444,29.233889,12-04-2011,1.12,2.3799999,4.0
-27.802778,28.768333,12-04-2011,1.15,2.4199998,3.3
-26.98472222,26.63227778,12-04-2011,1.4699999,2.8999999,2.5
-27.398611,26.614722,12-04-2011,1.5699999,3.1999998,2.5
-29.160278,26.573333,12-04-2011,1.52,3.1999998,2.4
-30.568333,29.422778,12-04-2011,0.81,3.02,8.5
-30.570833,29.150556,12-04-2011,0.84,2.82,6.5
-33.501667,21.624167,12-04-2011,1.37,3.33,0.1
-27.495556,26.074722,12-04-2011,1.5699999,3.34,2.8
-25.57877778,29.12747222,12-04-2011,1.3199999,2.28,4.8
-28.801278,31.955389,13-04-2011,0.89,3.6899998,11.0
-30.398056,30.601944,13-04-2011,0.71999997,4.0699997,49.0
-30.27402,30.69602,13-04-2011,0.71,4.14,34.100002
-26.648056,27.089444,13-04-2011,1.3299999,2.61,3.4
-27.044444,27.005,13-04-2011,1.4499999,2.74,3.3
-31.031389,28.883333,13-04-2011,0.9,2.99,7.0
-30.86013889,29.07125,13-04-2011,0.94,2.76,7.0
-24.925278,29.324444,14-04-2011,1.41,2.1399999,4.0
-27.00222,28.76528,14-04-2011,1.22,2.3899999,5.0
-27.02314,28.59389,14-04-2011,1.25,2.4199998,4.8
-30.160091,27.40124,14-04-2011,1.3199999,2.86,3.6000001
-30.336111,27.359444,14-04-2011,1.31,2.97,3.8
-30.830556,26.921389,15-04-2011,1.31,3.1799998,2.7
-27.902778,24.615556,15-04-2011,1.9699999,2.95,0.3
-34.031944,22.053333,15-04-2011,0.84999996,3.3899999,7.0
-29.803611,30.516111,15-04-2011,0.77,2.86,11.3
-22.43772222,31.07805556,16-04-2011,1.7099999,1.8499999,0.5
-25.99136,27.84208,18-04-2011,1.24,2.46,4.9
-34.039722,22.133333,18-04-2011,0.82,3.6,7.3
-28.735556,29.820556,19-04-2011,1.27,2.34,3.2
-27.802778,28.768333,19-04-2011,1.15,2.4199998,3.3
-33.38056,19.30167,19-04-2011,1.35,3.53,8.2
-33.31388889,19.07472222,19-04-2011,1.5799999,3.55,10.2
-27.356667,27.286389,19-04-2011,1.4699999,2.8799999,3.0
-28.068333,31.55,19-04-2011,1.31,2.06,2.3
-27.398611,26.614722,20-04-2011,1.5699999,3.1999998,2.5
-29.160278,26.573333,20-04-2011,1.52,3.1999998,2.4
-30.830556,26.921389,21-04-2011,1.31,3.1799998,2.7
-27.363611,31.783333,21-04-2011,1.16,1.86,10.6
-27.044444,27.005,21-04-2011,1.4499999,2.74,3.3
-27.902778,24.615556,21-04-2011,1.9699999,2.95,0.3
-28.760833,17.730278,25-04-2011,3.03,3.53,0.0
-26.861111,28.884722,25-04-2011,1.1899999,2.36,5.2000003
-26.970278,27.211111,25-04-2011,1.4,2.54,3.5
-26.45,28.085833,25-04-2011,1.24,2.49,4.5
-27.01011111,26.69808333,26-04-2011,1.4599999,3.04,2.2
-25.127778,27.628889,26-04-2011,1.52,2.32,6.1
-25.20639,27.558,26-04-2011,1.52,2.3799999,6.5
-24.69514,27.40906,26-04-2011,1.61,2.35,7.0
-27.169444,29.233889,26-04-2011,1.12,2.3799999,4.0
